cells	cell_sizes	mc	median_mc_cell_size	total_mc_umis	total_mc_cells
WSETLV0003005	211	35	787	93532	97
WSETLV0003006	235	27	941.5	70842	60
WSETLV0003007	185	47	478	71014	125
WSETLV0003008	788	47	478	71014	125
WSETLV0003009	952	10	857.5	88011	78
WSETLV0003011	460	21	578	46864	71
WSETLV0003013	468	38	914.5	77933	80
WSETLV0003014	751	33	819	103650	100
WSETLV0003015	439	47	478	71014	125
WSETLV0003017	331	5	1339.5	173736	118
WSETLV0003018	203	10	857.5	88011	78
WSETLV0003019	445	33	819	103650	100
WSETLV0003020	222	15	398	29634	68
WSETLV0003021	327	11	333.5	19598	52
WSETLV0003022	348	20	526	82284	108
WSETLV0003023	900	30	1212	130854	96
WSETLV0003024	1042	33	819	103650	100
WSETLV0003025	1163	20	526	82284	108
WSETLV0003026	234	47	478	71014	125
WSETLV0003032	286	14	767	47027	53
WSETLV0003033	614	47	478	71014	125
WSETLV0003034	613	21	578	46864	71
WSETLV0003039	815	3	1129.5	139782	108
WSETLV0003040	183	38	914.5	77933	80
WSETLV0003042	715	27	941.5	70842	60
WSETLV0003043	451	37	422	12858	28
WSETLV0003046	355	12	541	35705	54
WSETLV0003047	1080	24	765.5	22537	24
WSETLV0003048	384	47	478	71014	125
WSETLV0003049	605	9	1268.5	56424	42
WSETLV0003050	374	20	526	82284	108
WSETLV0003051	877	10	857.5	88011	78
WSETLV0003052	361	20	526	82284	108
WSETLV0003054	208	4	302	20392	56
WSETLV0003057	1471	31	931	57903	51
WSETLV0003058	514	38	914.5	77933	80
WSETLV0003059	619	37	422	12858	28
WSETLV0003061	886	10	857.5	88011	78
WSETLV0003062	672	25	422.5	18412	40
WSETLV0003064	1054	26	1096	128756	97
WSETLV0003065	688	47	478	71014	125
WSETLV0003067	1157	24	765.5	22537	24
WSETLV0003069	160	10	857.5	88011	78
WSETLV0003071	1008	47	478	71014	125
WSETLV0003073	703	38	914.5	77933	80
WSETLV0003074	557	38	914.5	77933	80
WSETLV0003075	286	46	323	18263	35
WSETLV0003077	228	20	526	82284	108
WSETLV0003079	1467	38	914.5	77933	80
WSETLV0003082	1262	38	914.5	77933	80
WSETLV0003084	415	25	422.5	18412	40
WSETLV0003085	721	47	478	71014	125
WSETLV0003086	929	38	914.5	77933	80
WSETLV0003087	354	47	478	71014	125
WSETLV0003089	706	18	711	50449	57
WSETLV0003090	378	38	914.5	77933	80
WSETLV0003091	606	20	526	82284	108
WSETLV0003092	288	15	398	29634	68
WSETLV0003093	652	10	857.5	88011	78
WSETLV0003094	778	38	914.5	77933	80
WSETLV0003095	958	47	478	71014	125
WSETLV0003098	231	47	478	71014	125
WSETLV0003100	617	13	737.5	75624	86
WSETLV0003101	343	21	578	46864	71
WSETLV0003102	220	11	333.5	19598	52
WSETLV0003103	623	47	478	71014	125
WSETLV0003105	993	26	1096	128756	97
WSETLV0003108	1116	38	914.5	77933	80
WSETLV0003109	231	25	422.5	18412	40
WSETLV0003112	599	47	478	71014	125
WSETLV0003113	676	27	941.5	70842	60
WSETLV0003117	216	40	639	56324	74
WSETLV0003118	535	3	1129.5	139782	108
WSETLV0003122	690	38	914.5	77933	80
WSETLV0003124	344	27	941.5	70842	60
WSETLV0003126	911	1	719	47160	43
WSETLV0003128	171	15	398	29634	68
WSETLV0003129	168	47	478	71014	125
WSETLV0003130	441	47	478	71014	125
WSETLV0003132	1004	47	478	71014	125
WSETLV0003133	1049	29	1001	78394	57
WSETLV0003135	173	32	610.5	60613	80
WSETLV0003136	635	7	1204	128168	80
WSETLV0003137	421	13	737.5	75624	86
WSETLV0003138	586	25	422.5	18412	40
WSETLV0003139	236	25	422.5	18412	40
WSETLV0003140	574	35	787	93532	97
WSETLV0003143	599	1	719	47160	43
WSETLV0003145	256	10	857.5	88011	78
WSETLV0003146	340	47	478	71014	125
WSETLV0003147	243	22	662	29192	38
WSETLV0003148	158	15	398	29634	68
WSETLV0003150	276	47	478	71014	125
WSETLV0003151	160	41	358	5907	15
WSETLV0003152	600	47	478	71014	125
WSETLV0003153	428	20	526	82284	108
WSETLV0003155	902	1	719	47160	43
WSETLV0003156	252	32	610.5	60613	80
WSETLV0003158	360	33	819	103650	100
WSETLV0003161	460	25	422.5	18412	40
WSETLV0003162	345	47	478	71014	125
WSETLV0003163	1064	34	1067	121013	101
WSETLV0003164	965	34	1067	121013	101
WSETLV0003167	1270	38	914.5	77933	80
WSETLV0003170	983	12	541	35705	54
WSETLV0003171	1601	5	1339.5	173736	118
WSETLV0003172	882	34	1067	121013	101
WSETLV0003174	1148	47	478	71014	125
WSETLV0003176	373	10	857.5	88011	78
WSETLV0003177	204	39	371.5	41857	90
WSETLV0003178	307	47	478	71014	125
WSETLV0003179	242	46	323	18263	35
WSETLV0003180	361	47	478	71014	125
WSETLV0003182	318	29	1001	78394	57
WSETLV0003183	765	29	1001	78394	57
WSETLV0003186	971	33	819	103650	100
WSETLV0003187	1150	34	1067	121013	101
WSETLV0003188	896	32	610.5	60613	80
WSETLV0003190	858	12	541	35705	54
WSETLV0003199	296	37	422	12858	28
WSETLV0003201	283	13	737.5	75624	86
WSETLV0003204	441	15	398	29634	68
WSETLV0003206	291	19	762	74309	85
WSETLV0003207	307	9	1268.5	56424	42
WSETLV0003211	741	44	557	46549	58
WSETLV0003212	560	47	478	71014	125
WSETLV0003213	607	10	857.5	88011	78
WSETLV0003214	474	38	914.5	77933	80
WSETLV0003215	266	35	787	93532	97
WSETLV0003216	880	13	737.5	75624	86
WSETLV0003217	156	16	710.5	24235	32
WSETLV0003218	375	24	765.5	22537	24
WSETLV0003219	183	1	719	47160	43
WSETLV0003222	782	5	1339.5	173736	118
WSETLV0003226	269	47	478	71014	125
WSETLV0003227	3094	6	1662	162158	87
WSETLV0003229	420	20	526	82284	108
WSETLV0003230	447	47	478	71014	125
