gene	tot	var	is_on_count	sz_cor	sz_cor_norm	niche_stat	niche_norm	n_mean	ds_top1	ds_top2	ds_top3	ds_mean	ds_var	ds_log_varmean	ds_vm_norm	ds_is_on_count	downsample_n	marker	log2_ds_mean
Hvul_g13748_1	169	0.0069441	30	0.046	-0.031	1	0	0.0020984	1	1	1	0.0012989	0.0012972	-0.00143536884524777	0	30	750	no	-9.58849392012531
Hvul_g1376_1	26	0.001062	0	0.026	-0.002	1	0	0.0001554	0	0	0	0	0	0	0	0	750	no	-Inf
Hvul_g13777_1	13	0.0005313	2	0.028	0.005	1	0	6.45e-05	1	1	0	8.66e-05	8.66e-05	0	0	2	750	no	-13.4952734494848
Hvul_g13788_1	40	0.0016328	3	0.034	-0.002	1	0	0.0002547	1	1	1	0.0001299	0.0001299	0	0	3	750	no	-12.9103109487637
Hvul_g138_1	412	0.0185247	47	0.168	0.044	1	0	0.0028425	1	1	1	0.0020349	0.0020308	-0.00242075165387258	-7.66422727834426e-05	47	750	no	-8.9408263860177
Hvul_g13804_1	15	0.00094	2	0.014	-0.01	1	0	0.0002046	2	1	0	0.0001299	0.0002165	0.214390939655729	0.214390939655729	2	750	no	-12.9103109487637
Hvul_g13806_1	31	0.0016748	10	0.008	-0.028	1	0	0.0005792	2	1	1	0.0004763	0.0005626	0.133960975205883	0.134449044363052	10	750	no	-11.0358418308475
Hvul_g1381_1	24	0.0009804	5	0.025	-0.003	1	0	0.000148	1	1	1	0.0002165	0.0002164	-0.00023006663946312	0	5	750	no	-12.1733453545975
Hvul_g13810_1	35	0.0015926	3	0.037	0.003	1	0	0.0002167	1	1	1	0.0001299	0.0001299	0	0	3	750	no	-12.9103109487637
Hvul_g13815_1	1741	0.1295772	167	0.242	-0.016	1	0	0.0100263	2	2	1	0.007317	0.0074369	0.022212628128487	0	167	750	no	-7.09453202580683
Hvul_g1383_1	31	0.0012659	9	0.012	-0.024	1	0	0.0004378	1	1	1	0.0003897	0.0003895	-0.000360571437572726	0	9	750	no	-11.3253484480425
Hvul_g13856_1	35545	14.1364508	3045	0.381	-0.314	0.958739980312192	0.275511765612746	0.2430887	9	6	6	0.1885959	0.3086455	0.709432810317683	0.59053772932353	3045	750	yes	-2.40662978215093
Hvul_g13859_1	421	0.0219059	71	0.082	-0.049	1	0	0.0045574	2	2	1	0.0031606	0.0033239	0.0645056885029742	0.0343293520762557	71	750	no	-8.30558582282423
Hvul_g13860_1	19691	27.2210772	1273	0.093	-0.523	1	0.251321575020997	0.1534457	10	9	9	0.1201455	0.3742465	1.63586592089689	1.54749592001094	1273	750	yes	-3.0571454809536
Hvul_g13861_1	376	0.0191446	72	0.057	-0.048	1	0	0.0037449	2	1	1	0.0031606	0.0032373	0.0306570195495251	0.000480683122806466	72	750	no	-8.30558582282423
Hvul_g13862_1	70	0.0029358	10	0.022	-0.027	1	0	0.0006372	1	1	1	0.000433	0.0004328	-0.000342062554171561	0	10	750	no	-11.1733453545975
Hvul_g1387_1	382	0.0160295	61	0.1	-0.009	1	0	0.0037286	2	1	1	0.0026843	0.0027638	0.0365908203581643	0.0398091929590411	61	750	no	-8.54123836710096
Hvul_g13871_1	4787	1.2808633	689	0.082	-0.306	1	0	0.0667198	9	8	7	0.0484911	0.1110015	1.18794895439303	1.13822490295099	689	750	yes	-4.36613620874527
Hvul_g13872_1	927	0.1199601	166	0.046	-0.142	1	0	0.010753	3	3	3	0.0086591	0.0120483	0.458048792112337	0.429647623558492	166	750	yes	-6.8515672011664
Hvul_g13873_1	3349	0.782779	560	0.077	-0.264	1	0	0.0451465	5	5	5	0.0330346	0.0561047	0.75684184292773	0.707958339900885	560	750	yes	-4.91987831385052
Hvul_g13879_1	179	0.0108636	40	-0.009	-0.091	1	0	0.0023616	2	2	1	0.0018184	0.0019884	0.106035301428242	0.108107928215982	40	750	no	-9.10311469539369
Hvul_g13884_1	182	0.007468	32	0.08	0.002	1	0	0.001769	2	1	1	0.0014288	0.0015134	0.0648726214795793	0.0664421101365851	32	750	no	-9.45098029909031
Hvul_g13892_1	48	0.0019588	8	0.036	-0.004	1	0	0.0004395	1	1	1	0.0003464	0.0003463	-0.000190586370607218	0	8	750	no	-11.4952734494848
