gene	tot	var	is_on_count	sz_cor	sz_cor_norm	niche_stat	niche_norm	n_mean	ds_top1	ds_top2	ds_top3	ds_mean	ds_var	ds_log_varmean	ds_vm_norm	ds_is_on_count	downsample_n	marker	log2_ds_mean
Xesp_011289	213	0.0092285	72	0.084	0.00700000000000001	1	0	0.0048459	2	1	1	0.0043781	0.0044791	0.0302048389467578	-0.0350838064907582	72	750	no	-7.83547937722947
Xesp_011290	1531	0.0750395	474	0.214	0.005	1	0	0.0321769	2	2	2	0.0296869	0.0313264	0.0765589917960421	-0.00640963746143965	474	750	no	-5.07402973936452
Xesp_011291	705	0.0319482	199	0.165	0.017	1	0	0.0144758	2	2	2	0.0121147	0.0123285	0.0244470151189104	-0.0261478998458335	199	750	no	-6.36709751043913
Xesp_011292	298	0.0128408	82	0.086	-0.013	1	0	0.008622	2	1	1	0.0049778	0.0050733	0.025414926936296	0	82	750	no	-7.65027601834567
Xesp_011293	108	0.0043347	30	0.079	0.014	1	0	0.0021437	1	1	1	0.0017992	0.0017961	-0.00203904254449581	0	30	750	no	-9.11842871843372
Xesp_011294	500	0.0212152	147	0.121	-0.00600000000000001	1	0	0.0118507	2	2	1	0.0089361	0.0090967	0.0246174803625677	-0.0185472962576134	147	750	no	-6.80613895417917
Xesp_011296	1654	0.0744656	444	0.284	0.066	1	0	0.0347261	2	2	2	0.0274079	0.0282178	0.0414242686546011	-0.0248963130999845	444	750	no	-5.18926439702328
Xesp_011297	116	0.0058357	33	0.049	-0.008	1	0	0.0030605	2	2	1	0.0020991	0.0023347	0.130187631676649	0.132559695373294	33	750	no	-8.89601338717563
Xesp_011298	707	0.0302026	199	0.181	0.035	1	0	0.0148454	2	1	1	0.0119947	0.0119715	-0.00270385710732397	-0.0553312676529388	199	750	no	-6.38145911500496
Xesp_011299	1355	0.0615887	364	0.228	0.036	1	0	0.0325822	2	2	2	0.0222502	0.0225961	0.0218695307152898	-0.0593624570903258	364	750	no	-5.49003788570866
Xesp_011300	694	0.0294793	199	0.167	0.016	1	0	0.0158816	2	2	2	0.0121746	0.012507	0.0376538812294512	-0.0125412602529926	199	750	no	-6.35998181685079
Xesp_011301	482	0.0208471	136	0.151	0.028	1	0	0.0114783	2	2	2	0.0083963	0.0088061	0.06572463697559	0.0184456266403477	136	750	no	-6.89603056958275
Xesp_011302	866	0.036657	255	0.157	-0.013	1	0	0.0222672	2	2	2	0.0155332	0.0157726	0.0215213396589281	-0.0328534613629909	255	750	no	-6.00850111931789
Xesp_011303	3851	0.2092661	1042	0.322	0.011	1	0	0.0958426	4	3	3	0.0674703	0.0737177	0.127045408699701	0.0122854556786021	1042	750	no	-3.88960361312311
